ID;Gender;Age_months;Age_group;Midtesting_age_months;Midtesting_age_group;Mediansplit_midtesting_entiresample;AdditionalSupportNeeds;TestingLocation;Trial;StoppedEarly;TotalNr_Rounds;RoundNr;Position;BoxID;Correct;emptied_all_boxes;NrBoxesEmptied;Efficiency;NoSearches_before_FirstError;NoSearches_before_FirstError_numeric;Video;NrBoxesEmptiedDisregardingFirstSearch;NrRoundsDisregardingFirstSearch;EfficiencyDisregardingFirstSearch
8;m;58;4;58;4;old;no;Fife;1;no;11;11;6;blue;yes;no;7;0.636;2;2;ID8_WM_ScrambledBox_m_4y;6;10;0.6
8;m;58;4;58;4;old;no;Fife;2;no;11;1;8;lightblue;yes;yes;8;0.727;5;5;ID8_WM_ScrambledBox_m_4y;7;10;0.7
8;m;58;4;58;4;old;no;Fife;2;no;11;2;5;yellow;yes;yes;8;0.727;5;5;ID8_WM_ScrambledBox_m_4y;7;10;0.7
8;m;58;4;58;4;old;no;Fife;2;no;11;3;1;blue;yes;yes;8;0.727;5;5;ID8_WM_ScrambledBox_m_4y;7;10;0.7
8;m;58;4;58;4;old;no;Fife;2;no;11;4;6;white;yes;yes;8;0.727;5;5;ID8_WM_ScrambledBox_m_4y;7;10;0.7
8;m;58;4;58;4;old;no;Fife;2;no;11;5;1;purple;yes;yes;8;0.727;5;5;ID8_WM_ScrambledBox_m_4y;7;10;0.7
8;m;58;4;58;4;old;no;Fife;2;no;11;6;4;lightblue;no;yes;8;0.727;5;5;ID8_WM_ScrambledBox_m_4y;7;10;0.7
8;m;58;4;58;4;old;no;Fife;2;no;11;7;7;green;yes;yes;8;0.727;5;5;ID8_WM_ScrambledBox_m_4y;7;10;0.7
8;m;58;4;58;4;old;no;Fife;2;no;11;8;3;blue;no;yes;8;0.727;5;5;ID8_WM_ScrambledBox_m_4y;7;10;0.7
8;m;58;4;58;4;old;no;Fife;2;no;11;9;5;red;yes;yes;8;0.727;5;5;ID8_WM_ScrambledBox_m_4y;7;10;0.7
8;m;58;4;58;4;old;no;Fife;2;no;11;10;5;white;no;yes;8;0.727;5;5;ID8_WM_ScrambledBox_m_4y;7;10;0.7
8;m;58;4;58;4;old;no;Fife;2;no;11;11;2;orange;yes;yes;8;0.727;5;5;ID8_WM_ScrambledBox_m_4y;7;10;0.7
9;f;40;3;41;3;young;no;Fife;1;no;11;1;1;white;yes;no;7;0.636;3;3;ID9_WM_ScrambledBox_f_3y;6;10;0.6
9;f;40;3;41;3;young;no;Fife;1;no;11;2;1;lightblue;yes;no;7;0.636;3;3;ID9_WM_ScrambledBox_f_3y;6;10;0.6
9;f;40;3;41;3;young;no;Fife;1;no;11;3;1;yellow;yes;no;7;0.636;3;3;ID9_WM_ScrambledBox_f_3y;6;10;0.6
9;f;40;3;41;3;young;no;Fife;1;no;11;4;3;lightblue;no;no;7;0.636;3;3;ID9_WM_ScrambledBox_f_3y;6;10;0.6
9;f;40;3;41;3;young;no;Fife;1;no;11;5;4;red;yes;no;7;0.636;3;3;ID9_WM_ScrambledBox_f_3y;6;10;0.6
